blockchain,block_date,block_time,tx_hash,token_category,safe_sender,receiver,receiver_type,receiver_contract_name,receiver_label_names,receiver_label_categories,receiver_label_models,receiver_ens,receiver_name,event_name,symbol,token_address,amount,amount_usd,vertical,protocol
ethereum,2024-11-24,2024-11-24 02:30:35.000 UTC,0x6e8c68c12a6f19d3a5a911919b71a4d5ce657cf38a4181cf3df0f68612fe82b3,stablecoin,0x68045881d4b654978d385fcf235b0a18c674a69c,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,Smart contract,Uniswap_v3: Pair,DEX Pool,dex,dex_pools,,Uniswap_v3,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,300,299.7024,DEX,Uniswap_v3: Pair
ethereum,2024-11-24,2024-11-24 02:35:47.000 UTC,0x1fa4938bdaac407ec018b7d0d62581416de678bfebaf6b34c06061eebf53411c,native,0x68045881d4b654978d385fcf235b0a18c674a69c,0xcb9400b032daf2d0b08dc6c4de16123f7567e510,EOA,,,,,,,,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.001051551032021875,3.6194071056883326,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 05:12:35.000 UTC,0xb2bfe6e3fdd2b818ee4160b65cf4a52c5039fc5ffb8ce609386f7d426680a75a,stablecoin,0xabde4306c91591fc9e3140040ca4b265faad51f5,0xec018fb9ba4f647625dcf73b24e289005dc1c0ff,EOA,,,,,,,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,75,74.91975,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 01:14:59.000 UTC,0x0a27055231a02508c941f80322270e12ed3835cb555e498e1c8ee8313fe4bba1,erc20,0xa2ef05936beb9a2cde4e7795ccfea4a880596624,0x0f49bbae8ddb67001e5b69a936b0881c2116d7d7,Safe,Safe,,,,,Gnosis_safe,Transfer,LRC,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,5000,1051.9199999999998,unclassified transfer to Safe,Safe
ethereum,2024-11-24,2024-11-24 08:33:23.000 UTC,0x6f344077f02bcc9118643fa3d9e9500319fd187af92d28da542a531ca7c446be,erc20,0xb5852a92a3853bfde15a8b2d88e92e240f020a14,0x88b1dd5eee64bd124f464e8dd38c5d4b311dc7a7,EOA,,,,,,,Transfer,BICO,0xf17e65822b568b3903685a7c9f496cf7656cc6c2,199999.99999999997,66966.19999999998,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 00:53:59.000 UTC,0x3e37a0b26fd631f08da5c9fcb492d6c2b28db67dcce92ec4ddaad6b40f7c504e,erc20,0x4b4eec1ddc9420a5cc35a25f5899dc5993f9e586,0x704377f719651c3ee6902ff3c9d5522e5054d429,Safe,Safe,,,,,Gnosis_safe,Transfer,stETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0.12,410.1576,unclassified transfer to Safe,Safe
ethereum,2024-11-24,2024-11-24 00:43:11.000 UTC,0xe9b425899be619436a0cdd60dbcbcda8d572ca19c35aeec858d5a25eda0fddc6,native,0x188f41d33ed8c0f62bd9e89ea038501060e61bae,0xc36442b4a4522e871399cd717abdd847ab11fe88,Smart contract,Uniswap_v3: NonfungiblePositionManager,,,,,Uniswap_v3,,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,8.068044712994908,27525.10270374769,DEX,Uniswap_v3: NonfungiblePositionManager
ethereum,2024-11-24,2024-11-24 00:43:11.000 UTC,0xe9b425899be619436a0cdd60dbcbcda8d572ca19c35aeec858d5a25eda0fddc6,erc20,0x188f41d33ed8c0f62bd9e89ea038501060e61bae,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,Smart contract,Uniswap_v3: Pair,DEX Pool,dex,dex_pools,,Uniswap_v3,Transfer,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,5824.055357265198,105706.60473436334,DEX,Uniswap_v3: Pair
ethereum,2024-11-24,2024-11-24 01:21:35.000 UTC,0x93f4ac216b67fffc06871f8711b64322f963d3f185411fd51e38ff172a5643cf,erc20,0x4b4eec1ddc9420a5cc35a25f5899dc5993f9e586,0x704377f719651c3ee6902ff3c9d5522e5054d429,Safe,Safe,,,,,Gnosis_safe,Transfer,stETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0.039,133.28523,unclassified transfer to Safe,Safe
ethereum,2024-11-24,2024-11-24 05:45:23.000 UTC,0x2c97c9cca464777bcb6369ca385c18620bd04b09bbce1bd6f8add2b93684604f,erc20,0x4b4eec1ddc9420a5cc35a25f5899dc5993f9e586,0x704377f719651c3ee6902ff3c9d5522e5054d429,Safe,Safe,,,,,Gnosis_safe,Transfer,stETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0.031026,105.51135924,unclassified transfer to Safe,Safe
ethereum,2024-11-24,2024-11-24 01:21:23.000 UTC,0xd77cd50de15897b9a4d6d5369ffd460ed1c3790059a2ea4ff78888fd378fc168,erc20,0x205a1c1101f6bdba16677db7443192e5b8623486,0x63e988f4b30245f9f4ee898531e0be3fee20b170,Smart contract,,,,,,,Transfer,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9975,3409.724325,unclassified transfer to Smart contract,unclassified transfer to Smart contract
ethereum,2024-11-24,2024-11-24 03:24:23.000 UTC,0x7ded12bd0efa49b7491e22be4f43ce2ad3a128e5c2acbee7341e5ece3e3f16e2,stablecoin,0xf768ba6d4bbdf057c3e0072b1a285c1b7624c744,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,Smart contract,Aave_v3: AToken,,,,,Aave_v3,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,45343.605684,45297.1284881739,lending,Aave_v3: AToken
ethereum,2024-11-24,2024-11-24 05:25:59.000 UTC,0xe2bdf13c92a7013188a295325e04dfce71b94619539efa314b16288c6ce6e62a,erc20,0xa2a242e1aef56db209fcff3b204d3dfc8490f20e,0x63e988f4b30245f9f4ee898531e0be3fee20b170,Smart contract,,,,,,,Transfer,crvUSD,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,99750,99389.40375,unclassified transfer to Smart contract,unclassified transfer to Smart contract
ethereum,2024-11-24,2024-11-24 06:05:11.000 UTC,0xd9f8528185e72aa0f9ce845ad71b64c7844bcf0c71ceb06232f9aa30f5300618,stablecoin,0x00dad9dd4f5b889d89260a9079397341ddb1b8ce,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,Smart contract,Aave_v3: AToken,,,,,Aave_v3,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,110129,110031.315577,lending,Aave_v3: AToken
ethereum,2024-11-24,2024-11-24 01:13:59.000 UTC,0xb491119ed7a27073ef81ea2a12df47f3ee1c97fc34ab0a9f4b59ad6bdfa6be1b,native,0x188f41d33ed8c0f62bd9e89ea038501060e61bae,0xc36442b4a4522e871399cd717abdd847ab11fe88,Smart contract,Uniswap_v3: NonfungiblePositionManager,,,,,Uniswap_v3,,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,3.66597637925989,12575.215474956238,DEX,Uniswap_v3: NonfungiblePositionManager
ethereum,2024-11-24,2024-11-24 04:14:11.000 UTC,0xd49836be63086195618e0bc98f1175624f744a09aece9ef8a8fc53c52375f5b3,stablecoin,0xbe6c5ce623146b31cfed63fd27349026cd4222ff,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,Smart contract,Aave_v3: AToken,,,,,Aave_v3,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,25000,24973.100000000002,lending,Aave_v3: AToken
ethereum,2024-11-24,2024-11-24 06:01:47.000 UTC,0x78b44038751c47620e6f120e9df73bfa87fb68bfbef8eb52fb4a3570629c53eb,stablecoin,0x22ee3ec1fe5d5ff7098fc2c167255ed77fbaf008,0x11e048f19844b7baa6d9ea4a20ed4facf7b757b2,Smart contract,,,,,,,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,25735.5,25712.981437500002,unclassified transfer to Smart contract,unclassified transfer to Smart contract
ethereum,2024-11-24,2024-11-24 01:30:11.000 UTC,0x7f2715628ad28864cafb05f81c3ff6e22aeb5119f2d8b885bc300214d7fb5d44,erc20,0x4b4eec1ddc9420a5cc35a25f5899dc5993f9e586,0x704377f719651c3ee6902ff3c9d5522e5054d429,Safe,Safe,,,,,Gnosis_safe,Transfer,stETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0.07,239.1851,unclassified transfer to Safe,Safe
ethereum,2024-11-24,2024-11-24 01:14:59.000 UTC,0x0a27055231a02508c941f80322270e12ed3835cb555e498e1c8ee8313fe4bba1,erc20,0x0f49bbae8ddb67001e5b69a936b0881c2116d7d7,0x63e988f4b30245f9f4ee898531e0be3fee20b170,Smart contract,,,,,,,Transfer,LRC,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,4987.5,1049.2902,unclassified transfer to Smart contract,unclassified transfer to Smart contract
ethereum,2024-11-24,2024-11-24 02:46:11.000 UTC,0x1c1a870f08c8df944150c43d5f6b8bc67ecd45909520d04af69e7a0d1838d0f6,erc20,0xcbccfeb938e95edd9863a02ece087033d68042a0,0x81210106806bcd45df0fead7c5226cdca1b5edab,EOA,,,,,kanoyuzo.eth,kanoyuzo.eth,Transfer,ALT,0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb,31.816720334055056,4.178839865395125,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 01:41:47.000 UTC,0x9be73d6c274682c23e724ee4fdc8b1ceecd6bfedc9b4b6e3dc845328d17744d7,erc20,0xcbccfeb938e95edd9863a02ece087033d68042a0,0xcff6cc153aa35e288d769dc0d0bb57b097d162c8,EOA,,,,,,,Transfer,ALT,0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb,377.3523252047912,48.48713232253924,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 00:48:23.000 UTC,0x377ed72fd0fb4e068660004d006db8fc03cced1b5a9222c86b72883bf6d9c7f0,native,0x25f9b4c4f8182d0a21714d49a4ca7f9308e2ee48,0x882ec52e30ca90c3fcf6fc632d9a31061faee789,EOA,,,,,thisbetom.eth,thisbetom.eth,,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,1.48801855,5079.797725990001,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-11-24,2024-11-24 03:39:59.000 UTC,0x6f1f013e87787a572881ccbf77a8e6678d8d379321420090ff96c298640552fd,erc20,0x4b4eec1ddc9420a5cc35a25f5899dc5993f9e586,0x704377f719651c3ee6902ff3c9d5522e5054d429,Safe,Safe,,,,,Gnosis_safe,Transfer,stETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0.04,136.9144,unclassified transfer to Safe,Safe
